PNO113_STO_Intensity,PNO113_STO_2Theta,PNO112_STO_Intensity,PNO112_STO_2Theta,PNO113_LSAT_Intensity,PNO113_LSAT_2Theta,PNO112_LSAT_Intensity,PNO112_LSAT_2Theta
212.5,49.16,6.66667,49.16,29.1667,49.16,0.833333,49.16
166.667,49.18,6.66667,49.18,25,49.18,4.16667,49.18
187.5,49.2,5,49.2,12.5,49.2,5,49.2
187.5,49.22,3.33333,49.22,20.8333,49.22,6.66667,49.22
154.167,49.24,3.33333,49.24,25,49.24,5,49.24
129.167,49.26,5,49.26,12.5,49.26,6.66667,49.26
191.667,49.28,8.33333,49.28,25,49.28,7.5,49.28
175,49.3,5,49.3,20.8333,49.3,2.5,49.3
158.333,49.32,1,49.32,4.16667,49.32,0.833333,49.32
150,49.34,1.66667,49.34,16.6667,49.34,4.16667,49.34
133.333,49.36,6.66667,49.36,4.16667,49.36,4.16667,49.36
70.8333,49.38,6.66667,49.38,16.6667,49.38,5,49.38
108.333,49.4,1,49.4,8.33333,49.4,2.5,49.4
116.667,49.42,8.33333,49.42,4.16667,49.42,4.16667,49.42
83.3333,49.44,8.33333,49.44,4.16667,49.44,6.66667,49.44
83.3333,49.46,3.33333,49.46,16.6667,49.46,7.5,49.46
75,49.48,6.66667,49.48,8.33333,49.48,5,49.48
95.8333,49.5,6.66667,49.5,16.6667,49.5,5,49.5
95.8333,49.52,3.33333,49.52,4.16667,49.52,2.5,49.52
50,49.54,1.66667,49.54,4.16667,49.54,5,49.54
33.3333,49.56,6.66667,49.56,1,49.56,6.66667,49.56
75,49.58,3.33333,49.58,1,49.58,2.5,49.58
62.5,49.6,1.66667,49.6,1,49.6,5,49.6
25,49.62,5,49.62,4.16667,49.62,5.83333,49.62
20.8333,49.64,5,49.64,4.16667,49.64,5.83333,49.64
41.6667,49.66,1,49.66,1,49.66,2.5,49.66
37.5,49.68,1.66667,49.68,4.16667,49.68,3.33333,49.68
45.8333,49.7,1,49.7,8.33333,49.7,3.33333,49.7
29.1667,49.72,6.66667,49.72,1,49.72,5,49.72
16.6667,49.74,1.66667,49.74,4.16667,49.74,5.83333,49.74
12.5,49.76,3.33333,49.76,1,49.76,4.16667,49.76
4.16667,49.78,8.33333,49.78,4.16667,49.78,2.5,49.78
12.5,49.8,10,49.8,4.16667,49.8,4.16667,49.8
4.16667,49.82,3.33333,49.82,1,49.82,0.833333,49.82
8.33333,49.84,1.66667,49.84,1,49.84,1,49.84
4.16667,49.86,5,49.86,1,49.86,3.33333,49.86
16.6667,49.88,1,49.88,1,49.88,4.16667,49.88
12.5,49.9,1.66667,49.9,1,49.9,4.16667,49.9
4.16667,49.92,5,49.92,4.16667,49.92,3.33333,49.92
1,49.94,8.33333,49.94,1,49.94,4.16667,49.94
1,49.96,5,49.96,4.16667,49.96,1.66667,49.96
1,49.98,5,49.98,4.16667,49.98,6.66667,49.98
1,50,5,50,4.16667,50,5.83333,50
1,50.02,5,50.02,12.5,50.02,2.5,50.02
4.16667,50.04,1.66667,50.04,1,50.04,1.66667,50.04
4.16667,50.06,6.66667,50.06,4.16667,50.06,2.5,50.06
1,50.08,5,50.08,1,50.08,3.33333,50.08
8.33333,50.1,6.66667,50.1,4.16667,50.1,3.33333,50.1
4.16667,50.12,13.3333,50.12,4.16667,50.12,2.5,50.12
1,50.14,10,50.14,8.33333,50.14,1.66667,50.14
4.16667,50.16,1.66667,50.16,12.5,50.16,3.33333,50.16
1,50.18,6.66667,50.18,4.16667,50.18,3.33333,50.18
1,50.2,8.33333,50.2,4.16667,50.2,3.33333,50.2
1,50.22,3.33333,50.22,1,50.22,1.66667,50.22
1,50.24,3.33333,50.24,4.16667,50.24,3.33333,50.24
1,50.26,8.33333,50.26,4.16667,50.26,3.33333,50.26
1,50.28,6.66667,50.28,4.16667,50.28,1.66667,50.28
1,50.3,1.66667,50.3,4.16667,50.3,4.16667,50.3
1,50.32,3.33333,50.32,8.33333,50.32,3.33333,50.32
1,50.34,11.6667,50.34,4.16667,50.34,5,50.34
1,50.36,10,50.36,8.33333,50.36,0.833333,50.36
8.33333,50.38,5,50.38,4.16667,50.38,1.66667,50.38
8.33333,50.4,15,50.4,4.16667,50.4,1.66667,50.4
4.16667,50.42,10,50.42,1,50.42,2.5,50.42
8.33333,50.44,10,50.44,8.33333,50.44,1.66667,50.44
4.16667,50.46,8.33333,50.46,8.33333,50.46,0.833333,50.46
1,50.48,5,50.48,4.16667,50.48,3.33333,50.48
4.16667,50.5,10,50.5,8.33333,50.5,3.33333,50.5
4.16667,50.52,8.33333,50.52,4.16667,50.52,0.833333,50.52
4.16667,50.54,8.33333,50.54,1,50.54,1.66667,50.54
12.5,50.56,6.66667,50.56,8.33333,50.56,6.66667,50.56
1,50.58,6.66667,50.58,4.16667,50.58,4.16667,50.58
8.33333,50.6,8.33333,50.6,4.16667,50.6,4.16667,50.6
12.5,50.62,8.33333,50.62,1,50.62,0.833333,50.62
8.33333,50.64,6.66667,50.64,8.33333,50.64,3.33333,50.64
1,50.66,18.3333,50.66,4.16667,50.66,2.5,50.66
4.16667,50.68,3.33333,50.68,1,50.68,0.833333,50.68
8.33333,50.7,10,50.7,4.16667,50.7,5,50.7
12.5,50.72,5,50.72,4.16667,50.72,0.833333,50.72
16.6667,50.74,3.33333,50.74,4.16667,50.74,0.833333,50.74
4.16667,50.76,6.66667,50.76,1,50.76,2.5,50.76
12.5,50.78,3.33333,50.78,4.16667,50.78,1.66667,50.78
8.33333,50.8,5,50.8,4.16667,50.8,2.5,50.8
12.5,50.82,15,50.82,1,50.82,2.5,50.82
1,50.84,8.33333,50.84,16.6667,50.84,5.83333,50.84
1,50.86,6.66667,50.86,1,50.86,4.16667,50.86
12.5,50.88,3.33333,50.88,1,50.88,0.833333,50.88
16.6667,50.9,3.33333,50.9,1,50.9,5,50.9
8.33333,50.92,6.66667,50.92,4.16667,50.92,1,50.92
4.16667,50.94,10,50.94,1,50.94,0.833333,50.94
16.6667,50.96,3.33333,50.96,1,50.96,2.5,50.96
8.33333,50.98,1.66667,50.98,4.16667,50.98,1.66667,50.98
4.16667,51,8.33333,51,1,51,0.833333,51
1,51.02,10,51.02,8.33333,51.02,0.833333,51.02
8.33333,51.04,8.33333,51.04,4.16667,51.04,5,51.04
4.16667,51.06,5,51.06,8.33333,51.06,5,51.06
1,51.08,5,51.08,1,51.08,2.5,51.08
1,51.1,1,51.1,4.16667,51.1,2.5,51.1
4.16667,51.12,3.33333,51.12,8.33333,51.12,4.16667,51.12
4.16667,51.14,6.66667,51.14,4.16667,51.14,3.33333,51.14
4.16667,51.16,6.66667,51.16,4.16667,51.16,4.16667,51.16
8.33333,51.18,5,51.18,8.33333,51.18,4.16667,51.18
1,51.2,1.66667,51.2,1,51.2,6.66667,51.2
12.5,51.22,5,51.22,1,51.22,3.33333,51.22
4.16667,51.24,3.33333,51.24,1,51.24,2.5,51.24
1,51.26,3.33333,51.26,1,51.26,3.33333,51.26
1,51.28,6.66667,51.28,8.33333,51.28,2.5,51.28
1,51.3,1.66667,51.3,1,51.3,1.66667,51.3
4.16667,51.32,5,51.32,1,51.32,2.5,51.32
4.16667,51.34,10,51.34,1,51.34,3.33333,51.34
1,51.36,3.33333,51.36,4.16667,51.36,5,51.36
4.16667,51.38,1,51.38,1,51.38,0.833333,51.38
1,51.4,1.66667,51.4,1,51.4,7.5,51.4
1,51.42,3.33333,51.42,1,51.42,5.83333,51.42
4.16667,51.44,1.66667,51.44,1,51.44,5,51.44
4.16667,51.46,3.33333,51.46,4.16667,51.46,3.33333,51.46
1,51.48,3.33333,51.48,1,51.48,3.33333,51.48
1,51.5,3.33333,51.5,1,51.5,3.33333,51.5
1,51.52,1.66667,51.52,4.16667,51.52,2.5,51.52
4.16667,51.54,1,51.54,4.16667,51.54,3.33333,51.54
1,51.56,1.66667,51.56,1,51.56,2.5,51.56
1,51.58,1.66667,51.58,4.16667,51.58,8.33333,51.58
1,51.6,3.33333,51.6,1,51.6,2.5,51.6
1,51.62,5,51.62,4.16667,51.62,2.5,51.62
4.16667,51.64,1.66667,51.64,1,51.64,3.33333,51.64
4.16667,51.66,5,51.66,4.16667,51.66,3.33333,51.66
1,51.68,1.66667,51.68,8.33333,51.68,6.66667,51.68
1,51.7,6.66667,51.7,4.16667,51.7,4.16667,51.7
4.16667,51.72,6.66667,51.72,4.16667,51.72,6.66667,51.72
4.16667,51.74,3.33333,51.74,8.33333,51.74,5,51.74
1,51.76,1,51.76,8.33333,51.76,5,51.76
1,51.78,3.33333,51.78,4.16667,51.78,5,51.78
4.16667,51.8,3.33333,51.8,1,51.8,4.16667,51.8
1,51.82,1.66667,51.82,1,51.82,4.16667,51.82
4.16667,51.84,3.33333,51.84,1,51.84,3.33333,51.84
1,51.86,8.33333,51.86,8.33333,51.86,2.5,51.86
4.16667,51.88,3.33333,51.88,1,51.88,6.66667,51.88
4.16667,51.9,5,51.9,1,51.9,5,51.9
4.16667,51.92,1.66667,51.92,1,51.92,4.16667,51.92
1,51.94,1.66667,51.94,1,51.94,5,51.94
1,51.96,8.33333,51.96,1,51.96,6.66667,51.96
1,51.98,6.66667,51.98,1,51.98,1.66667,51.98
1,52,10,52,1,52,0.833333,52
,,5,52.02,,,1.66667,52.02
,,8.33333,52.04,,,1.66667,52.04
,,5,52.06,,,2.5,52.06
,,13.3333,52.08,,,2.5,52.08
,,3.33333,52.1,,,3.33333,52.1
,,6.66667,52.12,,,0.833333,52.12
,,10,52.14,,,4.16667,52.14
,,10,52.16,,,5.83333,52.16
,,5,52.18,,,4.16667,52.18
,,6.66667,52.2,,,2.5,52.2
,,3.33333,52.22,,,1.66667,52.22
,,13.3333,52.24,,,0.833333,52.24
,,6.66667,52.26,,,3.33333,52.26
,,6.66667,52.28,,,2.5,52.28
,,11.6667,52.3,,,0.833333,52.3
,,5,52.32,,,0.833333,52.32
,,6.66667,52.34,,,3.33333,52.34
,,8.33333,52.36,,,2.5,52.36
,,13.3333,52.38,,,3.33333,52.38
,,13.3333,52.4,,,4.16667,52.4
,,8.33333,52.42,,,4.16667,52.42
,,6.66667,52.44,,,1.66667,52.44
,,10,52.46,,,2.5,52.46
,,5,52.48,,,5,52.48
,,13.3333,52.5,,,1.66667,52.5
,,8.33333,52.52,,,2.5,52.52
,,10,52.54,,,2.5,52.54
,,15,52.56,,,2.5,52.56
,,13.3333,52.58,,,0.833333,52.58
,,21.6667,52.6,,,1.66667,52.6
,,11.6667,52.62,,,0.833333,52.62
,,10,52.64,,,1.66667,52.64
,,11.6667,52.66,,,2.5,52.66
,,11.6667,52.68,,,5,52.68
,,11.6667,52.7,,,0.833333,52.7
,,25,52.72,,,1.66667,52.72
,,11.6667,52.74,,,1,52.74
,,5,52.76,,,1,52.76
,,11.6667,52.78,,,3.33333,52.78
,,10,52.8,,,2.5,52.8
,,15,52.82,,,1.66667,52.82
,,13.3333,52.84,,,3.33333,52.84
,,5,52.86,,,1.66667,52.86
,,10,52.88,,,2.5,52.88
,,11.6667,52.9,,,1,52.9
,,11.6667,52.92,,,3.33333,52.92
,,8.33333,52.94,,,0.833333,52.94
,,6.66667,52.96,,,1.66667,52.96
,,6.66667,52.98,,,2.5,52.98
,,1.66667,53,,,2.5,53
,,6.66667,53.02,,,2.5,53.02
,,10,53.04,,,1.66667,53.04
,,5,53.06,,,3.33333,53.06
,,10,53.08,,,1.66667,53.08
,,5,53.1,,,2.5,53.1
,,11.6667,53.12,,,2.5,53.12
,,5,53.14,,,3.33333,53.14
,,6.66667,53.16,,,1.66667,53.16
,,6.66667,53.18,,,3.33333,53.18
,,6.66667,53.2,,,4.16667,53.2
,,1.66667,53.22,,,2.5,53.22
,,5,53.24,,,1.66667,53.24
,,3.33333,53.26,,,0.833333,53.26
,,6.66667,53.28,,,5,53.28
,,6.66667,53.3,,,0.833333,53.3
,,1,53.32,,,3.33333,53.32
,,3.33333,53.34,,,5,53.34
,,5,53.36,,,0.833333,53.36
,,3.33333,53.38,,,2.5,53.38
,,1.66667,53.4,,,9.16667,53.4
,,5,53.42,,,1.66667,53.42
,,3.33333,53.44,,,4.16667,53.44
,,1,53.46,,,6.66667,53.46
,,5,53.48,,,2.5,53.48
,,5,53.5,,,5,53.5
,,11.6667,53.52,,,7.5,53.52
,,3.33333,53.54,,,5,53.54
,,1.66667,53.56,,,4.16667,53.56
,,1,53.58,,,7.5,53.58
,,6.66667,53.6,,,5,53.6
,,6.66667,53.62,,,6.66667,53.62
,,1,53.64,,,2.5,53.64
,,3.33333,53.66,,,7.5,53.66
,,1.66667,53.68,,,5.83333,53.68
,,3.33333,53.7,,,9.16667,53.7
,,6.66667,53.72,,,4.16667,53.72
,,1.66667,53.74,,,9.16667,53.74
,,3.33333,53.76,,,6.66667,53.76
,,5,53.78,,,8.33333,53.78
,,3.33333,53.8,,,6.66667,53.8
,,5,53.82,,,6.66667,53.82
,,5,53.84,,,10.8333,53.84
,,5,53.86,,,6.66667,53.86
,,8.33333,53.88,,,5,53.88
,,1.66667,53.9,,,8.33333,53.9
,,13.3333,53.92,,,10,53.92
,,8.33333,53.94,,,9.16667,53.94
,,11.6667,53.96,,,11.6667,53.96
,,15,53.98,,,13.3333,53.98
,,13.3333,54,,,8.33333,54
,,8.33333,54.02,,,14.1667,54.02
,,18.3333,54.04,,,8.33333,54.04
,,5,54.06,,,13.3333,54.06
,,15,54.08,,,12.5,54.08
,,8.33333,54.1,,,11.6667,54.1
,,13.3333,54.12,,,12.5,54.12
,,25,54.14,,,8.33333,54.14
,,10,54.16,,,20.8333,54.16
,,13.3333,54.18,,,11.6667,54.18
,,23.3333,54.2,,,15,54.2
,,35,54.22,,,12.5,54.22
,,28.3333,54.24,,,18.3333,54.24
,,26.6667,54.26,,,10.8333,54.26
,,20,54.28,,,9.16667,54.28
,,28.3333,54.3,,,9.16667,54.3
,,18.3333,54.32,,,16.6667,54.32
,,33.3333,54.34,,,19.1667,54.34
,,30,54.36,,,10.8333,54.36
,,36.6667,54.38,,,19.1667,54.38
,,33.3333,54.4,,,19.1667,54.4
,,51.6667,54.42,,,15.8333,54.42
,,40,54.44,,,14.1667,54.44
,,35,54.46,,,12.5,54.46
,,33.3333,54.48,,,15,54.48
,,41.6667,54.5,,,20,54.5
,,35,54.52,,,15.8333,54.52
,,25,54.54,,,17.5,54.54
,,40,54.56,,,14.1667,54.56
,,36.6667,54.58,,,13.3333,54.58
,,38.3333,54.6,,,15.8333,54.6
,,45,54.62,,,20.8333,54.62
,,45,54.64,,,17.5,54.64
,,43.3333,54.66,,,16.6667,54.66
,,36.6667,54.68,,,15.8333,54.68
,,50,54.7,,,21.6667,54.7
,,46.6667,54.72,,,20.8333,54.72
,,58.3333,54.74,,,16.6667,54.74
,,35,54.76,,,16.6667,54.76
,,60,54.78,,,16.6667,54.78
,,48.3333,54.8,,,16.6667,54.8
,,48.3333,54.82,,,15.8333,54.82
,,66.6667,54.84,,,22.5,54.84
,,63.3333,54.86,,,16.6667,54.86
,,65,54.88,,,24.1667,54.88
,,73.3333,54.9,,,20,54.9
,,81.6667,54.92,,,20,54.92
,,70,54.94,,,15,54.94
,,48.3333,54.96,,,19.1667,54.96
,,61.6667,54.98,,,23.3333,54.98
,,70,55,,,22.5,55
,,50,55.02,,,14.1667,55.02
,,81.6667,55.04,,,15,55.04
,,76.6667,55.06,,,23.3333,55.06
,,50,55.08,,,19.1667,55.08
,,96.6667,55.1,,,20,55.1
,,51.6667,55.12,,,15.8333,55.12
,,61.6667,55.14,,,15.8333,55.14
,,88.3333,55.16,,,20,55.16
,,95,55.18,,,12.5,55.18
,,60,55.2,,,12.5,55.2
,,68.3333,55.22,,,16.6667,55.22
,,73.3333,55.24,,,14.1667,55.24
,,61.6667,55.26,,,11.6667,55.26
,,86.6667,55.28,,,10,55.28
,,70,55.3,,,19.1667,55.3
,,73.3333,55.32,,,19.1667,55.32
,,58.3333,55.34,,,16.6667,55.34
,,53.3333,55.36,,,13.3333,55.36
,,70,55.38,,,15.8333,55.38
,,65,55.4,,,18.3333,55.4
,,73.3333,55.42,,,17.5,55.42
,,56.6667,55.44,,,7.5,55.44
,,83.3333,55.46,,,13.3333,55.46
,,61.6667,55.48,,,15.8333,55.48
,,55,55.5,,,17.5,55.5
,,73.3333,55.52,,,11.6667,55.52
,,58.3333,55.54,,,15,55.54
,,75,55.56,,,16.6667,55.56
,,70,55.58,,,11.6667,55.58
,,70,55.6,,,20.8333,55.6
,,55,55.62,,,16.6667,55.62
,,61.6667,55.64,,,10,55.64
,,65,55.66,,,14.1667,55.66
,,55,55.68,,,11.6667,55.68
,,63.3333,55.7,,,13.3333,55.7
,,55,55.72,,,11.6667,55.72
,,75,55.74,,,9.16667,55.74
,,61.6667,55.76,,,10,55.76
,,53.3333,55.78,,,17.5,55.78
,,58.3333,55.8,,,12.5,55.8
,,56.6667,55.82,,,15,55.82
,,75,55.84,,,17.5,55.84
,,51.6667,55.86,,,9.16667,55.86
,,55,55.88,,,12.5,55.88
,,50,55.9,,,11.6667,55.9
,,51.6667,55.92,,,12.5,55.92
,,41.6667,55.94,,,11.6667,55.94
,,58.3333,55.96,,,8.33333,55.96
,,36.6667,55.98,,,15.8333,55.98
,,50,56,,,11.6667,56
,,43.3333,56.02,,,6.66667,56.02
,,46.6667,56.04,,,9.16667,56.04
,,41.6667,56.06,,,17.5,56.06
,,41.6667,56.08,,,8.33333,56.08
,,53.3333,56.1,,,11.6667,56.1
,,31.6667,56.12,,,10.8333,56.12
,,41.6667,56.14,,,10,56.14
,,40,56.16,,,6.66667,56.16
,,40,56.18,,,10,56.18
,,26.6667,56.2,,,9.16667,56.2
,,35,56.22,,,5.83333,56.22
,,50,56.24,,,9.16667,56.24
,,30,56.26,,,7.5,56.26
,,40,56.28,,,8.33333,56.28
,,33.3333,56.3,,,8.33333,56.3
,,25,56.32,,,6.66667,56.32
,,41.6667,56.34,,,6.66667,56.34
,,21.6667,56.36,,,5.83333,56.36
,,38.3333,56.38,,,8.33333,56.38
,,31.6667,56.4,,,5.83333,56.4
,,23.3333,56.42,,,9.16667,56.42
,,26.6667,56.44,,,4.16667,56.44
,,23.3333,56.46,,,9.16667,56.46
,,26.6667,56.48,,,6.66667,56.48
,,33.3333,56.5,,,5.83333,56.5
,,28.3333,56.52,,,4.16667,56.52
,,16.6667,56.54,,,5,56.54
,,20,56.56,,,8.33333,56.56
,,35,56.58,,,6.66667,56.58
,,18.3333,56.6,,,2.5,56.6
,,15,56.62,,,5,56.62
,,23.3333,56.64,,,5,56.64
,,21.6667,56.66,,,9.16667,56.66
,,16.6667,56.68,,,4.16667,56.68
,,25,56.7,,,2.5,56.7
,,20,56.72,,,5,56.72
,,20,56.74,,,3.33333,56.74
,,11.6667,56.76,,,1.66667,56.76
,,10,56.78,,,3.33333,56.78
,,10,56.8,,,7.5,56.8
,,11.6667,56.82,,,2.5,56.82
,,10,56.84,,,4.16667,56.84
,,16.6667,56.86,,,3.33333,56.86
,,3.33333,56.88,,,5.83333,56.88
,,11.6667,56.9,,,5,56.9
,,11.6667,56.92,,,6.66667,56.92
,,6.66667,56.94,,,1.66667,56.94
,,8.33333,56.96,,,3.33333,56.96
,,10,56.98,,,2.5,56.98
,,6.66667,57,,,0.833333,57
,,5,57.02,,,4.16667,57.02
,,5,57.04,,,3.33333,57.04
,,6.66667,57.06,,,1.66667,57.06
,,6.66667,57.08,,,2.5,57.08
,,6.66667,57.1,,,4.16667,57.1
,,10,57.12,,,1.66667,57.12
,,6.66667,57.14,,,1.66667,57.14
,,5,57.16,,,1.66667,57.16
,,5,57.18,,,0.833333,57.18
,,10,57.2,,,5,57.2
,,8.33333,57.22,,,1.66667,57.22
,,5,57.24,,,2.5,57.24
,,1.66667,57.26,,,0.833333,57.26
,,6.66667,57.28,,,1.66667,57.28
,,10,57.3,,,0.833333,57.3
,,1.66667,57.32,,,3.33333,57.32
,,1.66667,57.34,,,5,57.34
,,1.66667,57.36,,,4.16667,57.36
,,1.66667,57.38,,,2.5,57.38
,,5,57.4,,,1.66667,57.4
,,1.66667,57.42,,,1,57.42
,,5,57.44,,,0.833333,57.44
,,1.66667,57.46,,,3.33333,57.46
,,1,57.48,,,1.66667,57.48
,,1.66667,57.5,,,0.833333,57.5
,,1.66667,57.52,,,1,57.52
,,3.33333,57.54,,,0.833333,57.54
,,1,57.56,,,3.33333,57.56
,,1.66667,57.58,,,1.66667,57.58
,,1.66667,57.6,,,1.66667,57.6
,,1,57.62,,,3.33333,57.62
,,6.66667,57.64,,,0.833333,57.64
,,1,57.66,,,1,57.66
,,3.33333,57.68,,,1,57.68
,,1,57.7,,,2.5,57.7
,,1,57.72,,,0.833333,57.72
,,1,57.74,,,1.66667,57.74
,,1.66667,57.76,,,0.833333,57.76
,,3.33333,57.78,,,0.833333,57.78
,,1,57.8,,,1,57.8
,,1,57.82,,,1,57.82
,,1,57.84,,,1,57.84
,,1,57.86,,,1,57.86
,,1,57.88,,,1.66667,57.88
,,3.33333,57.9,,,0.833333,57.9
,,1.66667,57.92,,,3.33333,57.92
,,1.66667,57.94,,,0.833333,57.94
,,1.66667,57.96,,,1.66667,57.96
,,3.33333,57.98,,,1,57.98
,,1.66667,58,,,1,58
,,3.33333,58.02,,,0.833333,58.02
,,1,58.04,,,3.33333,58.04
,,1,58.06,,,1,58.06
,,1.66667,58.08,,,0.833333,58.08
,,1,58.1,,,1.66667,58.1
,,1.66667,58.12,,,2.5,58.12
,,1,58.14,,,0.833333,58.14
,,1,58.16,,,0.833333,58.16
,,3.33333,58.18,,,0.833333,58.18
,,1,58.2,,,2.5,58.2
,,1.66667,58.22,,,0.833333,58.22
,,1.66667,58.24,,,1.66667,58.24
,,1.66667,58.26,,,2.5,58.26
,,1,58.28,,,1.66667,58.28
,,1.66667,58.3,,,1.66667,58.3
,,1,58.32,,,1,58.32
,,1.66667,58.34,,,1,58.34
,,3.33333,58.36,,,1.66667,58.36
,,1,58.38,,,1.66667,58.38
,,1.66667,58.4,,,0.833333,58.4
,,1.66667,58.42,,,1.66667,58.42
,,1,58.44,,,1,58.44
,,1.66667,58.46,,,2.5,58.46
,,3.33333,58.48,,,0.833333,58.48
,,1.66667,58.5,,,0.833333,58.5
,,3.33333,58.52,,,0.833333,58.52
,,1.66667,58.54,,,1,58.54
,,3.33333,58.56,,,1,58.56
,,1,58.58,,,0.833333,58.58
,,1,58.6,,,2.5,58.6
,,1.66667,58.62,,,1.66667,58.62
,,3.33333,58.64,,,1.66667,58.64
,,1,58.66,,,1,58.66
,,1,58.68,,,0.833333,58.68
,,1.66667,58.7,,,1.66667,58.7
,,1.66667,58.72,,,1.66667,58.72
,,1.66667,58.74,,,1.66667,58.74
,,1,58.76,,,1.66667,58.76
,,1,58.78,,,1,58.78
,,5,58.8,,,1.66667,58.8
,,1.66667,58.82,,,1.66667,58.82
,,1,58.84,,,0.833333,58.84
,,1,58.86,,,0.833333,58.86
,,1.66667,58.88,,,1,58.88
,,3.33333,58.9,,,1.66667,58.9
,,1,58.92,,,0.833333,58.92
,,5,58.94,,,1,58.94
,,3.33333,58.96,,,0.833333,58.96
,,3.33333,58.98,,,1.66667,58.98
,,1,59,,,2.5,59
,,1,59.02,,,0.833333,59.02
,,1.66667,59.04,,,1,59.04
,,1.66667,59.06,,,1,59.06
,,3.33333,59.08,,,0.833333,59.08
,,1.66667,59.1,,,1.66667,59.1
,,1,59.12,,,1.66667,59.12
,,1.66667,59.14,,,0.833333,59.14
,,1.66667,59.16,,,1.66667,59.16
,,1,59.18,,,0.833333,59.18
,,1.66667,59.2,,,1,59.2
,,1.66667,59.22,,,0.833333,59.22
,,1,59.24,,,0.833333,59.24
,,1,59.26,,,0.833333,59.26
,,1,59.28,,,0.833333,59.28
,,1,59.3,,,1,59.3
,,1.66667,59.32,,,0.833333,59.32
,,3.33333,59.34,,,1,59.34
,,1,59.36,,,1.66667,59.36
,,1,59.38,,,1.66667,59.38
,,1,59.4,,,3.33333,59.4
,,1.66667,59.42,,,0.833333,59.42
,,1,59.44,,,3.33333,59.44
,,1.66667,59.46,,,1.66667,59.46
,,1.66667,59.48,,,0.833333,59.48
,,3.33333,59.5,,,0.833333,59.5
,,1,59.52,,,1,59.52
,,1,59.54,,,1,59.54
,,3.33333,59.56,,,1.66667,59.56
,,1.66667,59.58,,,0.833333,59.58
,,3.33333,59.6,,,2.5,59.6
,,1,59.62,,,1,59.62
,,1,59.64,,,0.833333,59.64
,,1.66667,59.66,,,0.833333,59.66
,,5,59.68,,,1.66667,59.68
,,1.66667,59.7,,,0.833333,59.7
,,3.33333,59.72,,,0.833333,59.72
,,1,59.74,,,0.833333,59.74
,,1,59.76,,,1,59.76
,,1,59.78,,,1,59.78
,,1.66667,59.8,,,0.833333,59.8
,,1.66667,59.82,,,2.5,59.82
,,1,59.84,,,2.5,59.84
,,1.66667,59.86,,,1.66667,59.86
,,1.66667,59.88,,,1,59.88
,,1.66667,59.9,,,0.833333,59.9
,,5,59.92,,,0.833333,59.92
,,1,59.94,,,1,59.94
,,1,59.96,,,0.833333,59.96
,,1.66667,59.98,,,0.833333,59.98
,,3.33333,60,,,1,60
